ngram	t	p	p corrected	#members	meanM	StdevM	#nonMembers	meanN	StDevN
en	2.971237662	0.004991687	1.86E+02	41	53.31707317	16.07239718	37277	45.85296564	19.51355465
unemployment	-4.024187993	0.005021356	1.87E+02	8	28.5	12.20070256	37303	45.86349623	19.51173395
weve	4.741224154	0.005119069	1.91E+02	6	61.33333333	7.991662322	37305	45.85728455	19.5123768
talking	-2.797562217	0.005890665	2.20E+02	137	41.2919708	19.14501954	37174	45.87660731	19.51162873
ill	2.896637009	0.006371341	2.38E+02	37	54.05405405	17.21263416	37275	45.85209926	19.5125964
mother	-2.747748764	0.006559694	2.45E+02	195	42.23076923	18.48468513	37121	45.87864012	19.51495218
changing	5.151529132	0.006721201	2.51E+02	5	70.6	10.73778376	37306	45.85645741	19.51090226
mood	-2.81306779	0.006823419	2.55E+02	55	38.34545455	19.82536552	37256	45.87086644	19.50967862
smart	-2.808371011	0.007276934	2.72E+02	47	37.9787234	19.25062321	37264	45.8697134	19.51058624
each	2.724980178	0.007338028	2.74E+02	127	50.25984252	18.21486076	37190	45.84681366	19.51404448
air	-2.859393123	0.00751854	2.81E+02	32	37.3125	16.91427628	37279	45.86711017	19.51268375
dear	-3.69027022	0.007737652	2.89E+02	8	30.5	11.77163661	37303	45.86306731	19.51214312
couldnt	-2.988844075	0.00786462	2.93E+02	19	34.84210526	16.07020417	37292	45.86538668	19.51220473
smoothly	2.929117224	0.008007745	2.99E+02	22	55.86363636	16.02169795	37289	45.85387111	19.51255155
puppy	-2.78376975	0.008012566	2.99E+02	43	38.41860465	17.53667254	37269	45.86860393	19.51254578
comfortably	3.639769362	0.008273017	3.09E+02	8	61.125	11.86155254	37303	45.85649948	19.51214882
job	-2.639060618	0.008510429	3.18E+02	635	43.91811024	18.72740454	36711	45.89774182	19.52349277
arguments	-3.339902687	0.008645873	3.23E+02	10	32.6	12.55388386	37301	45.86332806	19.51244687
jim	3.129914069	0.008677474	3.24E+02	13	56.84615385	12.65468394	37300	45.85630027	19.51284208
sons	-2.672776439	0.009047082	3.38E+02	84	40.3452381	18.92820554	37229	45.87176663	19.51136862
partner	2.63243498	0.009601177	3.58E+02	119	49.85714286	16.57202345	37195	45.84920016	19.52040526
system	2.994985331	0.009636733	3.60E+02	15	58.46666667	16.30454217	37296	45.85470292	19.51174196
support	-2.595279474	0.009987277	3.73E+02	257	43.06614786	17.29589405	37057	45.87851148	19.52575622
wonderful	2.587000468	0.010117448	3.78E+02	319	48.64890282	19.31570524	36997	45.8388518	19.5133664
stayed	-2.71020012	0.010449362	3.90E+02	35	38.4	16.28821299	37276	45.86677755	19.51363307
gratefull	-2.787075605	0.010461347	3.90E+02	24	37.95833333	13.88611808	37292	45.86329508	19.51338169
asked	-2.616353507	0.010485531	3.91E+02	87	41.32183908	16.18820576	37224	45.87037933	19.51806416
deep	2.872189691	0.010558044	3.94E+02	18	58.11111111	18.10066261	37293	45.85385997	19.51103832
slept	-2.647400473	0.010601633	3.96E+02	55	38.70909091	20.04686429	37256	45.87032961	19.50955261
stephen	-3.59293648	0.011395657	4.25E+02	7	37.14285714	6.414269806	37305	45.86101059	19.51319982
homeless	-2.829448129	0.01155402	4.31E+02	18	34.88888889	16.45274477	37293	45.86506851	19.51207146
teachers	4.352734371	0.01210747	4.52E+02	5	66.8	10.75639345	37306	45.85696671	19.51149746
going	-2.51203446	0.012526424	4.67E+02	297	43.15488215	18.62311803	37017	45.88137883	19.51740683
happier	-3.490107219	0.012950055	4.83E+02	7	33	9.746794345	37304	45.86218636	19.51265779
when	-2.488273997	0.013002303	4.86E+02	922	44.39045553	18.09089837	36434	45.89468628	19.5457576
healing	-3.287386104	0.013329838	4.97E+02	8	31.625	12.24671968	37303	45.86282605	19.51227126
thought	-2.514761313	0.013564817	5.06E+02	97	40.80412371	19.81878274	37217	45.87094607	19.51052279
not	-2.467760478	0.013829733	5.17E+02	685	44.14890511	18.30790947	36686	45.89336532	19.5278205
credit	2.719583299	0.014040149	5.24E+02	19	55.47368421	15.41056067	37292	45.85487504	19.51283989
together	2.475279532	0.014062683	5.25E+02	220	49.09545455	19.42518671	37104	45.84403299	19.5118364
previous	3.666354853	0.014475376	5.40E+02	6	63.33333333	11.67333143	37305	45.85696287	19.51185651
pancakes	3.016262304	0.014548388	5.43E+02	10	58.5	13.25183425	37301	45.85638455	19.51244578
jai	2.653476117	0.015229506	5.68E+02	21	53.33333333	12.90477948	37293	45.85619285	19.51388321
window	2.587641502	0.015350824	5.73E+02	28	53.03571429	14.67545732	37283	45.85438404	19.51435234
humor	2.589192689	0.015536826	5.80E+02	27	53.81481481	15.9663999	37286	45.85461031	19.51304522
students	2.517867446	0.015599366	5.82E+02	44	52.43181818	17.32238467	37268	45.85161533	19.51324204
grateful	2.418440766	0.015809534	5.91E+02	767	47.52151239	19.11875062	36586	45.83381621	19.52560064
you	2.437377989	0.016004805	5.98E+02	145	50.08275862	20.85981765	37188	45.85325912	19.51260819
snowing	-3.549134044	0.016387569	6.11E+02	6	24.16666667	14.97219645	37305	45.8632623	19.5108733
yet	-2.547441201	0.017370557	6.48E+02	26	36.65384615	18.43245466	37285	45.86619284	19.51146401
these	2.496909154	0.017855954	6.66E+02	33	53.93939394	18.59593268	37278	45.85262085	19.51156145
shoveled	4.719049319	0.017988499	6.71E+02	4	69.25	9.912113801	37307	45.85726539	19.51135421
blessed	-2.481523869	0.018512246	6.91E+02	33	37.87878788	18.48269051	37278	45.86683835	19.51168978
appointment	-2.442596001	0.01885703	7.04E+02	43	39.39534884	17.36188976	37268	45.86723194	19.51332842
truck	-2.542165715	0.018951384	7.07E+02	22	36.31818182	17.60786178	37290	45.86495039	19.51185226
helping	-2.374695736	0.019087681	7.12E+02	125	41.512	20.51066442	37188	45.87506723	19.50699927
thanking	2.734413897	0.019413176	7.24E+02	12	60.5	18.54968757	37299	45.85506314	19.51078468
talked	-2.389917617	0.019418069	7.25E+02	74	41.56756757	15.45570877	37238	45.86830657	19.51819846
whatever	-2.521377067	0.019822786	7.40E+02	22	37.45454545	15.63794918	37289	45.86473223	19.51317207
bunch	2.682229029	0.01993933	7.44E+02	13	57.84615385	16.11338033	37299	45.85608193	19.51195473
send	2.513631293	0.020152372	7.52E+02	22	53.04545455	13.40745092	37290	45.85580585	19.51420361
l	2.530547959	0.020367356	7.60E+02	20	55.25	16.59700353	37292	45.85514319	19.5123334
tooth	-3.29296722	0.021548953	8.04E+02	6	37.16666667	6.462713568	37305	45.86117142	19.51312816
dogs	-2.322524319	0.021688482	8.09E+02	136	42.125	18.78708678	37181	45.8739141	19.51385
vent	2.770929151	0.02170029	8.10E+02	10	58.3	14.19741761	37301	45.85643817	19.51231977
brand	-2.578576545	0.021854631	8.15E+02	15	34.86666667	16.51348655	37296	45.86419455	19.51206869
before	2.308525223	0.021920043	8.18E+02	213	48.62441315	17.50848218	37101	45.84509851	19.52207043
so	2.28713284	0.022400415	8.38E+02	929	47.25511302	18.67521114	36466	45.83436626	19.53061393
nobody	-2.746167819	0.022571169	8.42E+02	10	37.7	9.393259995	37301	45.86196081	19.51362639
activities	2.415167516	0.023045758	8.60E+02	27	54.40740741	18.39577556	37284	45.85358331	19.511675
french	-2.889939024	0.023300141	8.69E+02	8	30.375	15.15573913	37303	45.86309412	19.51168373
mes	3.51379089	0.024516495	9.15E+02	5	57.8	7.596051606	37306	45.85817295	19.51267332
against	-4.170856485	0.025028894	9.34E+02	4	29	8.082903769	37307	45.86158094	19.51214433
regular	2.67809408	0.025271385	9.43E+02	10	61.1	17.99660462	37302	45.85649563	19.51139361
being	-2.237425739	0.025483625	9.52E+02	923	44.52004334	18.34835187	36425	45.89059712	19.53813635
overall	-2.614561726	0.025819301	9.63E+02	11	33.63636364	15.50659684	37300	45.86337802	19.51210973
boyfriend	2.236255484	0.026082035	9.73E+02	290	48.05517241	16.73207529	37032	45.84626809	19.53081886
whenever	-2.404191787	0.026556171	9.91E+02	20	36.85	16.76234816	37291	45.8646054	19.51246165
than	-2.228909082	0.027117037	1.01E+03	171	42.73099415	18.39783007	37143	45.87499663	19.51566545
health	2.217258047	0.027164821	1.01E+03	394	48.0177665	19.40573062	36927	45.83841092	19.51271381
mobile	-2.631093286	0.027290389	1.02E+03	10	33.1	15.33659386	37301	45.86319402	19.51205641
lay	-2.479929594	0.027595899	1.03E+03	14	35.21428571	16.06323356	37297	45.8637692	19.51228095
la	2.262588187	0.027766368	1.04E+03	54	50.77777778	15.96891635	37269	45.8556441	19.51398263
afternoon	-2.363444538	0.027788226	1.04E+03	22	40.27272727	11.08487523	37290	45.8633682	19.51534778
flexible	2.390359012	0.027946513	1.04E+03	19	52.89473684	12.82746505	37292	45.85618899	19.51430287
cuddle	-2.309356264	0.028497046	1.06E+03	29	39.10344828	15.75786613	37282	45.8650287	19.51391329
shower	-2.239378418	0.029107783	1.09E+03	57	40.21052632	19.05793502	37256	45.86788705	19.51209993
its	2.197643296	0.029273171	1.09E+03	176	48.85795455	18.13968796	37144	45.84482016	19.51687809
hannah	-2.642875437	0.029545293	1.10E+03	9	35.77777778	11.44309593	37302	45.86220578	19.51301963
too	-2.210187398	0.02970365	1.11E+03	88	41.375	19.05425557	37225	45.8698724	19.51178623
usual	-2.277007321	0.030064924	1.12E+03	31	39.35483871	15.90921827	37280	45.8651824	19.51400482
fair	2.712034899	0.030097514	1.12E+03	8	64.25	19.18146427	37303	45.85582929	19.51047792
brightened	-2.181575203	0.030158061	1.13E+03	227	43.1938326	18.46132904	37084	45.87609212	19.51738559
beat	2.478791712	0.030625025	1.14E+03	12	58.91666667	18.24808002	37300	45.85656836	19.51191659
sober	-2.446792869	0.03075364	1.15E+03	13	35.23076923	15.66393866	37298	45.86347793	19.51238215
nothing	-2.239553844	0.031380531	1.17E+03	37	37.05405405	23.93271349	37274	45.86851425	19.50554687
asking	-2.228592906	0.031816086	1.19E+03	39	39.87179487	16.78529978	37272	45.86603885	19.51389902
lately	2.38335471	0.031855144	1.19E+03	15	57.8	19.40618458	37297	45.85540392	19.51076274
down	-2.165332951	0.031855458	1.19E+03	158	42.91139241	17.14099632	37153	45.87231179	19.52073414
sport	2.943447483	0.032109645	1.20E+03	6	65.16666667	16.06756567	37305	45.85666801	19.51115984
met	2.194205438	0.032610701	1.22E+03	54	51.25925926	18.09428679	37258	45.85187074	19.5128787
learning	2.201604679	0.032848195	1.23E+03	46	51.95652174	18.79356453	37267	45.85190651	19.51158145
c	2.921426679	0.032873885	1.23E+03	6	54.83333333	7.521081483	37305	45.85832998	19.5130569
felt	-2.151713041	0.03308548	1.23E+03	144	42.46527778	18.94892406	37176	45.86996987	19.51380346
circle	2.359759916	0.033317479	1.24E+03	15	55.53333333	15.87840702	37296	45.85588267	19.51254774
connect	2.268946677	0.033407809	1.25E+03	23	53.43478261	16.01370461	37288	45.85510084	19.51324708
min	2.302709791	0.0334298	1.25E+03	19	55.68421053	18.59824553	37295	45.85641507	19.51165757
het	2.635356431	0.033631313	1.25E+03	8	61.125	16.38324493	37305	45.85776706	19.51182117
child	-2.174043569	0.033780678	1.26E+03	59	40.72881356	18.13914657	37253	45.86755429	19.51312
meus	3.158436828	0.034141417	1.27E+03	5	56	7.176350047	37306	45.8584142	19.51282687
box	-2.34144905	0.034498864	1.29E+03	15	36.8	14.98666074	37296	45.86341699	19.51293104
worry	2.120565323	0.034573394	1.29E+03	390	47.68205128	17.00782931	36932	45.84309	19.53527784
get	-2.117131418	0.034584133	1.29E+03	705	44.4070922	18.43223787	36636	45.89259199	19.53005708
department	-2.72027258	0.034603437	1.29E+03	7	31.85714286	13.61896437	37304	45.86240081	19.51213724
staff	2.23850996	0.034707912	1.30E+03	25	53.12	16.22066583	37287	45.85445329	19.51324281
paul	-2.316911348	0.035036634	1.31E+03	16	37	15.29705854	37295	45.86357421	19.51292442
such	2.127689828	0.035220293	1.31E+03	132	49.15909091	17.83462177	37182	45.84925502	19.51665485
was	-2.105462086	0.035340782	1.33E+03	2391	45.11501464	18.30752379	35277	45.93329932	19.58191402
luke	2.503594319	0.036687251	1.37E+03	9	54.44444444	10.28483241	37302	45.857702	19.51333078
rush	2.446402158	0.036947064	1.38E+03	10	56.5	13.75378736	37301	45.85692073	19.51268192
bella	-2.322028402	0.037092131	1.38E+03	14	35	17.50164827	37297	45.86384964	19.51180537
helped	-2.099227524	0.03728522	1.39E+03	168	42.88095238	18.42895714	37143	45.87324664	19.51597767
anything	-2.118493882	0.037425924	1.40E+03	76	41.89473684	16.3271381	37237	45.8681419	19.51688947
he	-2.08512749	0.037435916	1.40E+03	645	44.3503876	18.43238493	36756	45.87855044	19.52784383
girls	-2.119235671	0.037707597	1.41E+03	69	41.44927536	17.29887469	37243	45.86786779	19.51490597
online	-2.246554301	0.039115474	1.46E+03	17	37.11764706	16.04634831	37294	45.86375825	19.51273729
excited	-2.100391297	0.039134411	1.46E+03	74	41.25675676	18.86945841	37237	45.8689207	19.51243382
opening	-3.498995809	0.039474811	1.47E+03	4	24.75	12.06579187	37307	45.86203662	19.51153553
hearing	-2.130640519	0.039633021	1.48E+03	39	39.92307692	17.40747664	37272	45.86598519	19.51335966
within	-2.355313759	0.040252965	1.50E+03	11	34.54545455	15.93338405	37300	45.86310992	19.5121793
jewelry	-2.741422874	0.040708578	1.52E+03	6	24.5	19.08664455	37305	45.86320869	19.51045112
vehicle	-2.382431934	0.041047119	1.53E+03	10	32.3	18.00030864	37301	45.86340849	19.51136265
longer	2.060942336	0.041296017	1.54E+03	130	48.68461538	15.64233701	37182	45.84947017	19.52356083
ready	2.069759097	0.041358959	1.54E+03	90	50.03333333	19.15193539	37221	45.84968163	19.51204726
	2.036007315	0.0418396	1.59E+03	2516	46.645469	18.59290528	35469	45.86176661	19.54052623
nearby	2.951838922	0.041848926	1.56E+03	5	60.4	11.01362792	37306	45.85782448	19.51226208
post	-2.12172225	0.042216348	1.58E+03	31	39	18.00740588	37280	45.86547747	19.51243627
goodbye	2.217295786	0.042446667	1.58E+03	16	54.5625	15.7012473	37295	45.85603968	19.51282563
car	-2.038365271	0.042595252	1.59E+03	241	43.34024896	19.24643902	37081	45.87578544	19.51397576
jesus	2.088394199	0.043500695	1.62E+03	39	52.33333333	19.36808734	37272	45.85299957	19.51129707
returning	2.34139562	0.043889873	1.64E+03	10	55.9	13.56015405	37301	45.85708158	19.51279988
sticking	-2.675770384	0.044018387	1.64E+03	6	29.5	14.97664849	37305	45.8624045	19.51170948
called	-2.031160144	0.044293834	1.65E+03	129	42.51937984	18.70999932	37184	45.87166523	19.5136862
between	2.170913592	0.044367167	1.66E+03	18	54.22222222	16.34393413	37294	45.85633078	19.5128125
invite	-2.889663346	0.044543535	1.66E+03	5	29.6	12.58173279	37306	45.8619525	19.5119785
miles	-2.179182137	0.044569636	1.66E+03	17	39.58823529	11.8641204	37295	45.86263574	19.51419234
event	2.124487498	0.044575919	1.66E+03	24	53.25	17.04533597	37287	45.85501649	19.51279961
live	-2.015553695	0.044681528	1.67E+03	315	43.81904762	18.0283469	37003	45.8766046	19.52239901
meetings	2.656912839	0.045021685	1.68E+03	6	60.83333333	13.80458861	37305	45.85736496	19.51200439
vacation	2.072702076	0.046069966	1.72E+03	34	52.64705882	19.1024072	37277	45.85358264	19.51155681
eyes	-2.161982693	0.046093663	1.72E+03	17	37.41176471	16.11311121	37294	45.86362418	19.51277277
grandchildren	-2.052544393	0.046220687	1.72E+03	44	39.70454545	19.9062682	37268	45.8676881	19.5108073
pays	-2.127534809	0.046675735	1.74E+03	20	36.65	19.3643052	37291	45.86471267	19.51118421
et	2.086777991	0.047246778	1.76E+03	26	53.30769231	18.20059171	37290	45.85610083	19.51304382
abusive	-2.050385185	0.047249891	1.76E+03	39	40.53846154	16.21215618	37272	45.86534127	19.51459543
sobriety	2.341613692	0.047261447	1.76E+03	9	55.77777778	12.70607904	37302	45.8573803	19.5128723
fixed	-2.030360807	0.047434684	1.77E+03	53	40.33962264	19.80767469	37258	45.86762574	19.51074765
spouse	2.076650668	0.047835507	1.78E+03	27	52.48148148	16.57238289	37284	45.85497801	19.51335693
friday	-2.082760118	0.048083586	1.79E+03	25	38.32	18.10552402	37286	45.86482862	19.51217095
unexpected	2.325141171	0.048499693	1.81E+03	9	56.77777778	14.08703107	37302	45.85713903	19.5125401
professional	2.370142707	0.049507819	1.85E+03	8	52.625	8.070006196	37303	45.85832239	19.51354151
program	2.064546348	0.049914176	1.86E+03	25	52.92	17.1	37287	45.85616971	19.51383416
le	2.117860743	0.050174358	1.87E+03	17	54.17647059	16.19118315	37296	45.85700879	19.51275115
shoulder	-2.303170276	0.050198419	1.87E+03	9	33.77777778	15.73831136	37302	45.86268833	19.51210387
pets	-1.992640444	0.050918077	1.90E+03	60	40.88333333	19.36018251	37251	45.86778878	19.51149161
wellness	2.432089739	0.050998483	1.90E+03	7	62	17.55942292	37304	45.85674459	19.51132095
bob	-2.349693664	0.051083239	1.91E+03	8	33.75	14.57737974	37303	45.86237032	19.51227836
sex	2.183296776	0.051556824	1.92E+03	12	60.33333333	22.967698	37300	45.85595174	19.5098433
inspiring	2.208807287	0.051636424	1.93E+03	11	55.36363636	14.27075841	37300	45.85697051	19.51280922
grade	-2.137461718	0.052109839	1.94E+03	14	37.28571429	15.00988685	37297	45.86299166	19.51295638
thank	1.974617628	0.052303892	1.95E+03	70	51.25714286	22.87057835	37248	45.8557238	19.50903179
stressing	2.041153405	0.052848583	1.97E+03	24	52.375	15.63944984	37287	45.85557969	19.51372672
perfect	2.001102096	0.052951622	1.98E+03	37	52.89189189	21.38507239	37277	45.8537436	19.50910775
downstairs	-2.266899437	0.053112532	1.98E+03	9	36	13.04798835	37302	45.86215216	19.51283103
six	2.32104942	0.053297476	1.99E+03	8	62.375	20.12771721	37303	45.8562314	19.51065883
happen	2.032442951	0.053303839	1.99E+03	25	54.64	21.6080232	37287	45.8541851	19.50935213
kyle	-2.215756027	0.053903997	2.01E+03	10	36.4	13.50061727	37301	45.86230932	19.51288762
with	1.923648268	0.054465566	2.05E+03	3441	46.49607672	18.66105412	34229	45.85109118	19.59686168
groceries	-2.036370514	0.054499899	2.03E+03	22	38.36363636	17.2696967	37289	45.86419588	19.51261584
land	-2.686674078	0.054822507	2.05E+03	5	27.2	15.53061493	37306	45.86227417	19.51146283
long	1.935523709	0.054997137	2.05E+03	136	48.72794118	17.30145227	37177	45.84974581	19.51875183
precious	-2.201919787	0.05514906	2.06E+03	10	33.4	17.89599583	37301	45.86311359	19.51158249
understand	-2.015539359	0.05515161	2.06E+03	25	39.84	14.93508174	37287	45.86389358	19.51399814
phone	-1.933178956	0.055491795	2.07E+03	124	42.93548387	16.87194329	37195	45.87105794	19.51879815
other	1.924989426	0.056157607	2.10E+03	147	48.74829932	18.21930466	37166	45.84905559	19.51606306
cards	2.227431535	0.056494188	2.11E+03	9	56.55555556	14.40582444	37302	45.85719264	19.51251989
problem	-1.947964276	0.056705213	2.12E+03	54	41.16666667	17.71551926	37258	45.86690107	19.51373391
friendships	2.174124304	0.057678183	2.15E+03	10	53.7	11.4022415	37301	45.85767138	19.51340323
lose	2.265664928	0.057775211	2.16E+03	8	53.25	9.223417402	37303	45.85818835	19.51339697
grades	-2.140600133	0.057907706	2.16E+03	11	39.81818182	9.357544355	37300	45.86155496	19.51401357
w	2.004361538	0.058081686	2.17E+03	22	54.36363636	19.90344659	37290	45.85585948	19.51186075
help	-1.89927267	0.058280083	2.18E+03	375	44.08533333	18.1636404	36947	45.87720248	19.52422779
definitely	2.203638192	0.058622907	2.19E+03	9	55.22222222	12.74536953	37302	45.85751434	19.51293304
pleasant	-2.019152221	0.059506672	2.22E+03	18	37.66666667	17.2183213	37293	45.86372778	19.51242908
bit	-1.929757293	0.059664949	2.23E+03	48	41.08333333	17.15614564	37263	45.86592599	19.51431377
songs	-2.237394748	0.06029004	2.25E+03	8	31.75	17.83856176	37303	45.86279924	19.51148174
gathering	-2.30860368	0.060358391	2.25E+03	7	32.42857143	15.39325765	37304	45.86229359	19.51200046
tablet	-2.183478813	0.060509408	2.26E+03	9	34.22222222	15.99044854	37302	45.86258109	19.5121251
content	2.306438251	0.060540842	2.26E+03	7	60.14285714	16.38524307	37304	45.85709307	19.51175698
clock	-2.305984968	0.06057603	2.26E+03	7	32.28571429	15.57470477	37304	45.86232039	19.51195875
pleased	-2.053547243	0.060695476	2.26E+03	14	33.28571429	22.91599566	37297	45.86449312	19.509464
drinking	2.087143277	0.060904746	2.27E+03	12	53.66666667	12.95680469	37299	45.85726159	19.5133814
many	1.893000701	0.060943025	2.27E+03	112	49.01785714	17.67778784	37201	45.85000403	19.51629525
chocolate	-1.95448394	0.061058245	2.28E+03	28	38.21428571	20.70669447	37284	45.8651164	19.51014835
respectful	2.173159867	0.061445371	2.29E+03	9	52.66666667	9.394147114	37302	45.85813093	19.51359631
stressful	1.89345354	0.061602917	2.30E+03	88	49.48863636	17.99616455	37223	45.85119415	19.51488162
jackson	-2.287492701	0.062133403	2.32E+03	7	32	16.03121954	37304	45.86237401	19.51186158
depressed	-2.113524264	0.063680304	2.38E+03	10	35.1	16.10003451	37301	45.86265784	19.51223126
t	2.054099396	0.064503402	2.41E+03	12	57.91666667	20.33563077	37300	45.85651475	19.5109351
